Slice,Count,Total Area,Average Size,%Area,Pot number
r_55_01_20241104.jpg,1,7750,7750.000,3.100,1
r_55_01_20241104.jpg,3,7257,2419.000,2.903,2
r_55_01_20241104.jpg,2,3093,1546.500,1.237,3
r_55_01_20241104.jpg,1,428,428.000,0.171,4
r_55_01_20241104.jpg,2,1478,739.000,0.591,5
r_55_01_20241104.jpg,1,892,892.000,0.357,6
r_55_01_20241104.jpg,0,0,NaN,0.000,7
r_55_01_20241104.jpg,0,0,NaN,0.000,8
r_55_01_20241104.jpg,1,287,287.000,0.115,9
r_55_01_20241104.jpg,1,445,445.000,0.178,10
r_55_01_20241104.jpg,0,0,NaN,0.000,11
r_55_01_20241104.jpg,0,0,NaN,0.000,12
r_55_01_20241104.jpg,0,0,NaN,0.000,13
r_55_01_20241104.jpg,0,0,NaN,0.000,14
r_55_01_20241104.jpg,2,1099,549.500,0.440,15
r_55_01_20241104.jpg,0,0,NaN,0.000,16
r_55_01_20241104.jpg,0,0,NaN,0.000,17
r_55_01_20241104.jpg,0,0,NaN,0.000,18
r_55_01_20241104.jpg,0,0,NaN,0.000,19
r_55_01_20241104.jpg,1,372,372.000,0.149,20
r_55_01_20241104.jpg,0,0,NaN,0.000,21
r_55_01_20241104.jpg,0,0,NaN,0.000,22
r_55_01_20241104.jpg,0,0,NaN,0.000,23
r_55_01_20241104.jpg,0,0,NaN,0.000,24
r_55_01_20241104.jpg,0,0,NaN,0.000,25
r_55_01_20241104.jpg,1,338,338.000,0.135,26
r_55_01_20241104.jpg,2,2273,1136.500,0.909,27
r_55_01_20241104.jpg,2,691,345.500,0.276,28
r_55_01_20241104.jpg,2,415,207.500,0.166,29
r_55_01_20241104.jpg,0,0,NaN,0.000,30
r_55_01_20241104.jpg,1,578,578.000,0.231,31
r_55_01_20241104.jpg,0,0,NaN,0.000,32
r_55_01_20241104.jpg,1,443,443.000,0.177,33
r_55_01_20241104.jpg,2,514,257.000,0.206,34
r_55_01_20241104.jpg,1,347,347.000,0.139,35
r_55_01_20241104.jpg,0,0,NaN,0.000,36
r_55_01_20241104.jpg,2,660,330.000,0.264,37
r_55_01_20241104.jpg,1,333,333.000,0.133,38
